gene_name,mean_abs_shap,mean_abs_shap_external,total_bio_terms,string_degree,cox_p_value,score_predictive,score_external,score_biological,score_survival,target_priority_score,ensembl_id,n_druggability_flags,has_approved_drug,is_druggable_family_sm,druggability_labels,n_known_drugs
DGAT2,0.0345512866986187,0.03436868779654858,42,0,0.3402921218759753,0.854366508189378,0.8043670062010762,0.43478260869565216,0.6951124419052157,0.6971571412478306,ENSG00000062282,4,False,False,SM:High-Quality Ligand; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Small Molecule Binder,3
RAD51,0.0291713901255564,0.029205484640645298,91,3,0.6963698410588411,0.6835481976034037,0.6471989986580857,1.0,0.2730392725011322,0.6509466171906554,ENSG00000051180,6,False,True,SM:Structure with Ligand; SM:High-Quality Ligand; SM:Druggable Family; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Small Molecule Binder,1
MTHFD2,0.0287276887449627,0.02972070320821044,23,0,0.2875797415384307,0.6694601349039866,0.6628822621804177,0.22826086956521738,0.7575945356654128,0.5795494505787586,ENSG00000065911,6,False,False,SM:Structure with Ligand; SM:High-Quality Ligand; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,0
PON1,0.0295180627406231,0.027994091309291178,28,1,0.3238575952582265,0.6945554780646352,0.6103241613737713,0.29347826086956524,0.7145929439515869,0.5782377110648896,ENSG00000005421,6,False,False,SM:High-Quality Ligand; AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; PR:Half-life Data; PR:Small Molecule Binder,3
USH2A,0.0391379912552167,0.040795523046114994,12,0,0.7872000457526959,1.0,1.0,0.10869565217391304,0.16537459620312228,0.5685175620942589,ENSG00000042781,4,False,False,AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; AB:GO CC med conf; PR:Database Ubiquitination,0
OTC,0.0305366706927051,0.03551370652665598,26,0,0.6241406190511242,0.7268975290987215,0.8392213992932074,0.2608695652173913,0.3586554596816955,0.5464109883227539,ENSG00000036473,5,False,True,SM:Structure with Ligand; SM:High-Quality Pocket; SM:Druggable Family; PR:Half-life Data; PR:Small Molecule Binder,3
JADE2,0.0318211054870918,0.032225821483382995,21,0,0.5987886738876496,0.7676799082123948,0.7391381126824929,0.20652173913043478,0.38870613477100374,0.5255114736990816,ENSG00000043143,2,False,False,PR:Database Ubiquitination; PR:Half-life Data,0
MED17,0.0220900165998697,0.023530839483677114,43,0,0.328986088482359,0.4587059081915992,0.47446268635271804,0.44565217391304346,0.7085139357105088,0.5218336760419673,ENSG00000042429,3,False,False,SM:Structure with Ligand; PR:Database Ubiquitination; PR:Half-life Data,0
PACC1,0.0234836146212926,0.0221815752562739,6,0,0.1212248824889001,0.5029543535701531,0.43339105622955737,0.043478260869565216,0.954781606976511,0.4836513194114467,ENSG00000065600,5,False,False,SM:Structure with Ligand; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination,0
ITIH1,0.0346684391756147,0.035508025629047736,4,1,0.8165779582732189,0.85808624293328,0.8390484726561598,0.03260869565217391,0.1305517809018224,0.465073798035859,ENSG00000055957,4,False,False,AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; AB:GO CC med conf; PR:Half-life Data,0
ITIH4,0.016115322054207,0.01993512816693371,16,2,0.0830768469820438,0.26900203290382413,0.3650091618083258,0.17391304347826086,1.0,0.4519810595476027,ENSG00000055955,4,False,False,AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; PR:Half-life Data,0
SPDL1,0.0248589736838115,0.025238659919703404,29,0,0.6317936764086634,0.5466236896471586,0.5264487746522971,0.29347826086956524,0.3495839845499731,0.42903367742974846,ENSG00000040275,2,False,False,PR:UniProt Ubiquitination; PR:Database Ubiquitination,0
MCM10,0.0237182211492195,0.02420199466950523,24,3,0.5908726396119526,0.5104033984000435,0.49489266366014717,0.2717391304347826,0.39808932696714033,0.41878112986552846,ENSG00000065328,2,False,False,PR:UniProt Ubiquitination; PR:Database Ubiquitination,0
DEPDC1B,0.0230497303255135,0.022914730350211524,24,2,0.6359196816973657,0.48917799534686035,0.4557083119823986,0.2608695652173913,0.34469326537446,0.3876122844802775,ENSG00000035499,1,False,False,PR:Database Ubiquitination,0
LPAR2,0.0128848742905766,0.012842114376973603,23,0,0.2813557382185495,0.16643135669740733,0.14909767988873518,0.22826086956521738,0.7649720958610697,0.3271905005031074,ENSG00000064547,6,False,True,SM:High-Quality Ligand; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Small Molecule Binder,17
OSBPL3,0.0199552827386907,0.020240164341035843,12,0,0.5855411203397759,0.3909254914558724,0.37429446906131575,0.10869565217391304,0.4044089901072845,0.3195811506995964,ENSG00000070882,5,False,False,SM:Structure with Ligand; AB:UniProt loc high conf; AB:GO CC high conf; PR:Database Ubiquitination; PR:Half-life Data,0
POLQ,0.0222723457323177,0.022747480557664304,4,2,0.7272358369699374,0.46449508163618186,0.4506172249453582,0.043478260869565216,0.23645257240962933,0.29876078496518366,ENSG00000051341,2,False,False,SM:Structure with Ligand; PR:Database Ubiquitination,5
MCF2L2,0.0252526208601487,0.025761412728034342,2,0,0.9267166350443948,0.5591224700076488,0.5423613806145358,0.0,0.0,0.27537096265554617,ENSG00000053524,1,False,False,PR:Database Ubiquitination,0
CDH3,0.0076431441594509,0.007944033505592675,9,0,0.353267051742007,0.0,0.0,0.07608695652173914,0.6797327383283702,0.18895492371252734,ENSG00000062038,7,False,False,SM:Structure with Ligand; AB:Phase 1 Clinical; AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:Database Ubiquitination,2
SPA17,0.011735514533611,0.011515109978286801,6,0,0.5489010892048489,0.12993777558965458,0.10870363939781795,0.043478260869565216,0.44783988520420825,0.1824898902653115,ENSG00000064199,4,False,False,SM:Structure with Ligand; AB:UniProt loc high conf; AB:GO CC med conf; PR:Database Ubiquitination,0
