gene_name,drug_name,interaction_score,interaction_types
OTC,VALPROIC ACID,0.2990507880976425,
OTC,4-PHENYLBUTYRIC ACID,1.764399649776091,
OTC,GLYCEROL PHENYLBUTYRATE,2.940666082960152,
SPDL1,,,
MED17,,,
USH2A,,,
JADE2,,,
OSBPL3,,,
RAD51,AMUVATINIB,15.12342556950935,inhibitor
POLQ,ART558,10.58639789865654,inhibitor
POLQ,SY-589,10.58639789865654,inhibitor
POLQ,RP-6685,10.58639789865654,inhibitor
POLQ,ART812,10.58639789865654,inhibitor
POLQ,RP-2119,10.58639789865654,inhibitor
MCF2L2,,,
ITIH4,,,
ITIH1,,,
CDH3,PF-03732010,26.46599474664136,inhibitor
CDH3,PF-06671008,26.46599474664136,
DGAT2,NIACIN,1.17626643318406,
DGAT2,PF-07202954,17.64399649776091,inhibitor
DGAT2,ERVOGASTAT,17.64399649776091,inhibitor
PON1,LEFLUNOMIDE,2.520570928251558,
PON1,QUERCETIN,0.5189410734635561,
PON1,SIMVASTATIN,1.411519719820872,
SPA17,,,
LPAR2,AM966,0.7784116101953342,inhibitor
LPAR2,GRI977143,3.113646440781337,agonist
LPAR2,DECYL DIHYDROGEN PHOSPHATE,3.113646440781337,agonist
LPAR2,AMG-35,3.113646440781337,inhibitor
LPAR2,KI16425,1.037882146927112,inhibitor
LPAR2,LPA,0.4448066343973338,agonist
LPAR2,UCM-14216,3.113646440781337,inhibitor
LPAR2,MORPHINE SULFATE,0.3892058050976671,
LPAR2,2-OLEOYL-LPA,0.7784116101953342,agonist
LPAR2,CPX,1.037882146927112,agonist
LPAR2,CPY,1.037882146927112,agonist
LPAR2,H2L5186303,1.556823220390668,inhibitor
LPAR2,CAFFEINE,0.1831556729871374,
LPAR2,RADIOPROTECTIN-1,3.113646440781337,agonist
LPAR2,FARNESYL DIPHOSPHATE,0.6227292881562674,agonist
LPAR2,OCTREOTIDE ACETATE,0.4151528587708449,
LPAR2,DODECYLPHOSPHATE,1.556823220390668,agonist
DEPDC1B,,,
MCM10,,,
PACC1,,,
MTHFD2,,,
