gene_name,drug_name,source,target_priority_score
DGAT2,ERVOGASTAT,DGIdb,0.6971571412478306
DGAT2,PF-07202954,DGIdb,0.6971571412478306
DGAT2,NIACIN,DGIdb,0.6971571412478306
RAD51,AMUVATINIB,DGIdb,0.6509466171906554
PON1,LEFLUNOMIDE,DGIdb,0.5782377110648896
PON1,SIMVASTATIN,DGIdb,0.5782377110648896
PON1,QUERCETIN,DGIdb,0.5782377110648896
OTC,VALPROIC ACID,DGIdb,0.5464109883227539
OTC,4-PHENYLBUTYRIC ACID,DGIdb,0.5464109883227539
OTC,GLYCEROL PHENYLBUTYRATE,DGIdb,0.5464109883227539
LPAR2,AM966,DGIdb,0.3271905005031074
LPAR2,MORPHINE SULFATE,DGIdb,0.3271905005031074
LPAR2,UCM-14216,DGIdb,0.3271905005031074
LPAR2,LPA,DGIdb,0.3271905005031074
LPAR2,KI16425,DGIdb,0.3271905005031074
LPAR2,AMG-35,DGIdb,0.3271905005031074
LPAR2,DECYL DIHYDROGEN PHOSPHATE,DGIdb,0.3271905005031074
LPAR2,GRI977143,DGIdb,0.3271905005031074
LPAR2,CPX,DGIdb,0.3271905005031074
LPAR2,CPY,DGIdb,0.3271905005031074
LPAR2,H2L5186303,DGIdb,0.3271905005031074
LPAR2,CAFFEINE,DGIdb,0.3271905005031074
LPAR2,RADIOPROTECTIN-1,DGIdb,0.3271905005031074
LPAR2,FARNESYL DIPHOSPHATE,DGIdb,0.3271905005031074
LPAR2,OCTREOTIDE ACETATE,DGIdb,0.3271905005031074
LPAR2,2-OLEOYL-LPA,DGIdb,0.3271905005031074
LPAR2,DODECYLPHOSPHATE,DGIdb,0.3271905005031074
POLQ,RP-6685,DGIdb,0.29876078496518366
POLQ,ART558,DGIdb,0.29876078496518366
POLQ,SY-589,DGIdb,0.29876078496518366
POLQ,RP-2119,DGIdb,0.29876078496518366
POLQ,ART812,DGIdb,0.29876078496518366
CDH3,PF-06671008,DGIdb,0.18895492371252734
CDH3,PF-03732010,DGIdb,0.18895492371252734
