gene_name,selection_count,category
TULP3,5,Core Biomarker
PRANCR,5,Core Biomarker
ZNF2,5,Core Biomarker
ZFC3H1,5,Core Biomarker
DPM1,4,Highly Stable
UPF2,4,Highly Stable
ZNF638,4,Highly Stable
TRIM56,4,Highly Stable
SNHG32,3,Stable
CYP4F2,3,Stable
SWT1,3,Stable
CCDC59,3,Stable
GNRH1,2,Exploratory
ERCC8,2,Exploratory
MIEF2,2,Exploratory
WAPL,2,Exploratory
CDX1,2,Exploratory
TAX1BP1,2,Exploratory
PABPC1L,2,Exploratory
MELK,2,Exploratory
EEF1AKNMT,2,Exploratory
IPO5,2,Exploratory
BTBD1,2,Exploratory
NOP16,1,Exploratory
NRIP2,1,Exploratory
LSG1,1,Exploratory
STAU2,1,Exploratory
AC010642.2,1,Exploratory
CC2D2A,1,Exploratory
PRDM6,1,Exploratory
FAM220A,1,Exploratory
AC116562.3,1,Exploratory
STK25,1,Exploratory
CLN3,1,Exploratory
CBX8,1,Exploratory
SFN,1,Exploratory
DOT1L,1,Exploratory
INTS3,1,Exploratory
ATP13A1,1,Exploratory
VPS35,1,Exploratory
TCF3,1,Exploratory
AC004803.1,1,Exploratory
AL355987.5,1,Exploratory
SNRPG,1,Exploratory
TADA2A,1,Exploratory
HERC2P2,1,Exploratory
AC145423.2,1,Exploratory
EPB41L4A-DT,1,Exploratory
AL031587.5,1,Exploratory
AC122713.2,1,Exploratory
PBXIP1,1,Exploratory
BLOC1S4,1,Exploratory
ZCRB1,1,Exploratory
