gene_name,selection_count
TULP3,5
PRANCR,5
ZNF2,5
ZFC3H1,5
DPM1,4
UPF2,4
ZNF638,4
TRIM56,4
SNHG32,3
CYP4F2,3
SWT1,3
CCDC59,3
GNRH1,2
ERCC8,2
MIEF2,2
WAPL,2
CDX1,2
TAX1BP1,2
PABPC1L,2
MELK,2
EEF1AKNMT,2
IPO5,2
BTBD1,2
NOP16,1
NRIP2,1
LSG1,1
STAU2,1
AC010642.2,1
CC2D2A,1
PRDM6,1
FAM220A,1
AC116562.3,1
STK25,1
CLN3,1
CBX8,1
SFN,1
DOT1L,1
INTS3,1
ATP13A1,1
VPS35,1
TCF3,1
AC004803.1,1
AL355987.5,1
SNRPG,1
TADA2A,1
HERC2P2,1
AC145423.2,1
EPB41L4A-DT,1
AL031587.5,1
AC122713.2,1
PBXIP1,1
BLOC1S4,1
ZCRB1,1
