gene_set_library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_Pathways_2024,Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes,2/103,0.004697512123196,0.114161318213222,21.869086908690868,117.23410068902288,DGAT2;MED17
Reactome_Pathways_2024,Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes,2/103,0.004697512123196,0.114161318213222,21.869086908690868,117.23410068902288,DGAT2;MED17
Reactome_Pathways_2024,MLL4 and MLL3 Complexes Regulate Expression of PPARG Targets in Adipogenesis and Hepatic Steatosis,2/103,0.004697512123196,0.114161318213222,21.869086908690868,117.23410068902288,DGAT2;MED17
Reactome_Pathways_2024,Metabolism of Lipids,4/758,0.0061064759089747,0.114161318213222,6.374668435013263,32.500644268738085,DGAT2;OSBPL3;PON1;MED17
Reactome_Pathways_2024,Homology Directed Repair,2/122,0.0065259614572547,0.114161318213222,18.38888888888889,92.53228181387864,POLQ;RAD51
Reactome_Pathways_2024,Acyl Chain Remodeling of DAG and TAG,1/7,0.0069799958941807,0.114161318213222,175.21052631578948,869.8689177892479,DGAT2
Reactome_Pathways_2024,Epigenetic Regulation by WDR5-containing Histone Modifying Complexes,2/135,0.0079353477675877,0.114161318213222,16.58061821219716,80.19096781895072,DGAT2;MED17
Reactome_Pathways_2024,Synthesis of 5-Eicosatetraenoic Acids,1/9,0.0089657734963174,0.114161318213222,131.39473684210526,619.439581424405,PON1
Reactome_Pathways_2024,Atorvastatin ADME,1/9,0.0089657734963174,0.114161318213222,131.39473684210526,619.439581424405,PON1
Reactome_Pathways_2024,Urea Cycle,1/10,0.0099572476243861,0.114161318213222,116.78947368421052,538.3357753631753,OTC
Reactome_Pathways_2024,DNA Double-Strand Break Repair,2/152,0.0099664642884558,0.114161318213222,14.688888888888888,67.69417619445412,POLQ;RAD51
Reactome_Pathways_2024,HDR Through MMEJ (alt-NHEJ),1/12,0.0119373705403343,0.1180265814834591,95.54545454545456,423.0830518492731,POLQ
Reactome_Pathways_2024,Lysosphingolipid and LPA Receptors,1/14,0.01391373176082,0.1180265814834591,80.83805668016194,345.57291333057793,LPAR2
Reactome_Pathways_2024,Triglyceride Biosynthesis,1/14,0.01391373176082,0.1180265814834591,80.83805668016194,345.57291333057793,DGAT2
Reactome_Pathways_2024,Metabolism,6/2181,0.0168095483078799,0.1180265814834591,3.508374384236453,14.334544836077171,DGAT2;MTHFD2;OSBPL3;PON1;MED17;OTC
Reactome_Pathways_2024,Metabolism of Folate and Pterines,1/17,0.0168712348172723,0.1180265814834591,65.67105263157895,268.0787715603985,MTHFD2
Reactome_Pathways_2024,Impaired BRCA2 Binding to PALB2,1/24,0.0237393438664972,0.1180265814834591,45.66819221967963,170.827422984315,RAD51
Reactome_Pathways_2024,Defective HDR Through Homologous Recombination Repair Due to PALB2 Loss of BRCA1 Binding Function,1/25,0.0247167737784927,0.1180265814834591,43.76315789473684,161.93563879493826,RAD51
Reactome_Pathways_2024,Defective HDR Through Homologous Recomb Repair Due to PALB2 Loss of BRCA2 RAD51 RAD51C Binding Fnc,1/25,0.0247167737784927,0.1180265814834591,43.76315789473684,161.93563879493826,RAD51
Reactome_Pathways_2024,Defective Homologous Recombination Repair (HRR) Due to BRCA1 Loss of Function,1/25,0.0247167737784927,0.1180265814834591,43.76315789473684,161.93563879493826,RAD51
Reactome_Pathways_2024,Defective Homologous Recombination Repair (HRR) Due to PALB2 Loss of Function,1/25,0.0247167737784927,0.1180265814834591,43.76315789473684,161.93563879493826,RAD51
Reactome_Pathways_2024,Cell Cycle,3/649,0.0257012929050458,0.1180265814834591,5.2815516299399015,19.336890667625973,RAD51;MCM10;SPDL1
Reactome_Pathways_2024,Resolution of D-loop Structures Through Synthesis-Dependent Strand Annealing (SDSA),1/27,0.0266688455361458,0.1180265814834591,40.392712550607285,146.39366123411943,RAD51
Reactome_Pathways_2024,Cell Cycle Checkpoints,2/261,0.027615408104187,0.1180265814834591,8.46031746031746,30.367306108046076,MCM10;SPDL1
Reactome_Pathways_2024,Synthesis of Bile Acids and Bile Salts,1/33,0.0325028162269628,0.1180265814834591,32.80921052631579,112.41841533087528,OSBPL3
Reactome_Pathways_2024,Activation of the Pre-Replicative Complex,1/33,0.0325028162269628,0.1180265814834591,32.80921052631579,112.41841533087528,MCM10
Reactome_Pathways_2024,Transcriptional Regulation by E2F6,1/34,0.0334719094011011,0.1180265814834591,31.8133971291866,108.07165990908112,RAD51
Reactome_Pathways_2024,Epigenetic Regulation of Gene Expression,2/291,0.0337360745135745,0.1180265814834591,7.570549788542868,25.658013118862407,DGAT2;MED17
Reactome_Pathways_2024,Resolution of D-loop Structures Through Holliday Junction Intermediates,1/35,0.0344400804224879,0.1180265814834591,30.876160990712076,104.00740624656504,RAD51
Reactome_Pathways_2024,Impaired BRCA2 Binding to RAD51,1/35,0.0344400804224879,0.1180265814834591,30.876160990712076,104.00740624656504,RAD51
Reactome_Pathways_2024,Resolution of D-Loop Structures,1/36,0.0354073301248565,0.1180265814834591,29.99248120300752,100.19997336732251,RAD51
Reactome_Pathways_2024,Activation of ATR in Response to Replication Stress,1/37,0.0363736593292806,0.1180265814834591,29.157894736842103,96.62665093408292,MCM10
Reactome_Pathways_2024,RHOV GTPase Cycle,1/37,0.0363736593292806,0.1180265814834591,29.157894736842103,96.62665093408292,DEPDC1B
Reactome_Pathways_2024,HDR Through Single Strand Annealing (SSA),1/37,0.0363736593292806,0.1180265814834591,29.157894736842103,96.62665093408292,RAD51
Reactome_Pathways_2024,Triglyceride Metabolism,1/38,0.0373390688738262,0.1180265814834591,28.36842105263158,93.26728562261796,DGAT2
Reactome_Pathways_2024,DNA Repair,2/312,0.0383098732629743,0.1180265814834591,7.050179211469534,22.99802037707689,POLQ;RAD51
Reactome_Pathways_2024,Presynaptic Phase of Homologous DNA Pairing and Strand Exchange,1/40,0.039267132268101,0.1180265814834591,26.910931174089068,87.12057233834933,RAD51
Reactome_Pathways_2024,RHOU GTPase Cycle,1/40,0.039267132268101,0.1180265814834591,26.910931174089068,87.12057233834933,DEPDC1B
Reactome_Pathways_2024,Defective Homologous Recombination Repair (HRR) Due to BRCA2 Loss of Function,1/41,0.0402297877766736,0.1180265814834591,26.23684210526316,84.30284540999916,RAD51
Reactome_Pathways_2024,Diseases of DNA Double-Strand Break Repair,1/41,0.0402297877766736,0.1180265814834591,26.23684210526316,84.30284540999916,RAD51
Reactome_Pathways_2024,RHOF GTPase Cycle,1/42,0.0411915269172122,0.1180265814834591,25.59563543003851,81.63786025385905,DEPDC1B
Reactome_Pathways_2024,RND1 GTPase Cycle,1/42,0.0411915269172122,0.1180265814834591,25.59563543003851,81.63786025385905,DEPDC1B
Reactome_Pathways_2024,RND3 GTPase Cycle,1/42,0.0411915269172122,0.1180265814834591,25.59563543003851,81.63786025385905,DEPDC1B
Reactome_Pathways_2024,Homologous DNA Pairing and Strand Exchange,1/43,0.0421523505298068,0.1180265814834591,24.98496240601504,79.11400474395023,RAD51
Reactome_Pathways_2024,RND2 GTPase Cycle,1/43,0.0421523505298068,0.1180265814834591,24.98496240601504,79.11400474395023,DEPDC1B
Reactome_Pathways_2024,Bile Acid and Bile Salt Metabolism,1/44,0.0431122594296053,0.1180901019158755,24.402692778457773,76.72079424655034,OSBPL3
Reactome_Pathways_2024,Diseases of DNA Repair,1/51,0.0498060789247286,0.1335226796705492,20.978947368421053,62.92883309083605,RAD51
Reactome_Pathways_2024,RHOD GTPase Cycle,1/53,0.051710413228189,0.1357398347239963,20.17004048582996,59.74559828701417,DEPDC1B
Reactome_Pathways_2024,RHOJ GTPase Cycle,1/55,0.0536111215176,0.1364643860209579,19.42105263157895,56.82597555721978,DEPDC1B
Reactome_Pathways_2024,Meiotic Recombination,1/57,0.0555082103235644,0.1364643860209579,18.72556390977444,54.1398060702703,RAD51
Reactome_Pathways_2024,RHOQ GTPase Cycle,1/59,0.0574016861834188,0.1364643860209579,18.07803992740472,51.661282065881295,DEPDC1B
Reactome_Pathways_2024,Adherens Junctions Interactions,1/59,0.0574016861834188,0.1364643860209579,18.07803992740472,51.661282065881295,CDH3
Reactome_Pathways_2024,Arachidonate Metabolism,1/59,0.0574016861834188,0.1364643860209579,18.07803992740472,51.661282065881295,PON1
Reactome_Pathways_2024,Mitochondrial Protein Import,1/65,0.0630605011079274,0.1471411692518306,16.37828947368421,45.26403459739593,OTC
Reactome_Pathways_2024,HDR Through Homologous Recombination (HRR),1/69,0.0668150987603724,0.1524409028842286,15.411764705882351,41.70155664670343,RAD51
Reactome_Pathways_2024,RHOB GTPase Cycle,1/70,0.0677515123929905,0.1524409028842286,15.187643020594964,40.88374528633187,DEPDC1B
Reactome_Pathways_2024,RHOC GTPase Cycle,1/74,0.0714882479432861,0.155302055876794,14.352559480894016,37.865241152955655,DEPDC1B
Reactome_Pathways_2024,RHOG GTPase Cycle,1/74,0.0714882479432861,0.155302055876794,14.352559480894016,37.865241152955655,DEPDC1B
Reactome_Pathways_2024,Transcriptional Regulation of White Adipocyte Differentiation,1/84,0.0807679353123666,0.1724874550738678,12.61699429296132,31.74656854741361,MED17
Reactome_Pathways_2024,RAC2 GTPase Cycle,1/88,0.0844550840845328,0.1743829806090971,12.03448275862069,29.7436505826784,DEPDC1B
Reactome_Pathways_2024,Meiosis,1/89,0.0853746735440269,0.1743829806090971,11.897129186602871,29.27533461302574,RAD51
Reactome_Pathways_2024,Cell-cell Junction Organization,1/92,0.0881281800641533,0.1743829806090971,11.50318102949682,27.94080032839929,CDH3
Reactome_Pathways_2024,RAC3 GTPase Cycle,1/94,0.0899594741237405,0.1743829806090971,11.254668930390492,27.10569960599241,DEPDC1B
Reactome_Pathways_2024,Amplification of Signal From Unattached Kinetochores via a MAD2 Inhibitory Signal,1/94,0.0899594741237405,0.1743829806090971,11.254668930390492,27.10569960599241,SPDL1
Reactome_Pathways_2024,Amplification of Signal From the Kinetochores,1/94,0.0899594741237405,0.1743829806090971,11.254668930390492,27.10569960599241,SPDL1
Reactome_Pathways_2024,"Cell Cycle, Mitotic",2/516,0.0930224197009042,0.1775882557926354,4.207955036748811,9.99353445393775,MCM10;SPDL1
Reactome_Pathways_2024,HATs Acetylate Histones,1/108,0.1026810483364275,0.1830218067055531,9.775209050664044,22.249624223401657,JADE2
Reactome_Pathways_2024,RSV-host Interactions,1/109,0.1035832376271884,0.1830218067055531,9.68421052631579,21.95778295069413,MED17
Reactome_Pathways_2024,Drug ADME,1/109,0.1035832376271884,0.1830218067055531,9.68421052631579,21.95778295069413,PON1
Reactome_Pathways_2024,Adipogenesis,1/110,0.1044845651566293,0.1830218067055531,9.594881699662,21.67211204877382,MED17
Reactome_Pathways_2024,Mitotic Spindle Checkpoint,1/111,0.1053850316942243,0.1830218067055531,9.507177033492823,21.392428630708658,SPDL1
Reactome_Pathways_2024,HDR Through Homologous Recombination (HRR) or Single Strand Annealing (SSA),1/116,0.1098744767967273,0.1830218067055531,9.091533180778033,20.077893566776314,RAD51
Reactome_Pathways_2024,EML4 and NUDC in Mitotic Spindle Formation,1/116,0.1098744767967273,0.1830218067055531,9.091533180778033,20.077893566776314,SPDL1
Reactome_Pathways_2024,PPARA Activates Gene Expression,1/117,0.110769793727799,0.1830218067055531,9.012704174228675,19.830663463908003,MED17
Reactome_Pathways_2024,DNA Replication Pre-Initiation,1/118,0.1116642551220043,0.1830218067055531,8.935222672064777,19.58831903150389,MCM10
Reactome_Pathways_2024,Cell Junction Organization,1/119,0.1125578617216778,0.1830218067055531,8.859054415700268,19.350725039139657,CDH3
Reactome_Pathways_2024,Regulation of Lipid Metabolism by PPARalpha,1/119,0.1125578617216778,0.1830218067055531,8.859054415700268,19.350725039139657,MED17
Reactome_Pathways_2024,G1 S Transition,1/121,0.1143425137021189,0.1830218067055531,8.710526315789474,18.889271325741056,MCM10
Reactome_Pathways_2024,Resolution of Sister Chromatid Cohesion,1/126,0.1187892392078867,0.1830218067055531,8.36,17.810181245591682,SPDL1
Reactome_Pathways_2024,Reproduction,1/127,0.1196760354120022,0.1830218067055531,8.293233082706767,17.606259261193085,RAD51
Reactome_Pathways_2024,Metabolism of Water-Soluble Vitamins and Cofactors,1/127,0.1196760354120022,0.1830218067055531,8.293233082706767,17.606259261193085,MTHFD2
Reactome_Pathways_2024,Glycerophospholipid Biosynthesis,1/128,0.1205619837822294,0.1830218067055531,8.227517612929963,17.406064436257147,DGAT2
Reactome_Pathways_2024,Platelet Degranulation,1/128,0.1205619837822294,0.1830218067055531,8.227517612929963,17.406064436257147,ITIH4
Reactome_Pathways_2024,Respiratory Syncytial Virus Infection Pathway,1/133,0.1249790349715015,0.1852630400754023,7.913875598086125,16.457769102687624,MED17
Reactome_Pathways_2024,Response to Elevated Platelet Cytosolic Ca2+,1/133,0.1249790349715015,0.1852630400754023,7.913875598086125,16.457769102687624,ITIH4
Reactome_Pathways_2024,G2 M Checkpoints,1/137,0.1284974930534796,0.1864967206426839,7.679566563467493,15.757287045296094,MCM10
Reactome_Pathways_2024,Mitotic G1 Phase and G1 S Transition,1/139,0.130251677909176,0.1864967206426839,7.567505720823799,15.424746385609486,MCM10
Reactome_Pathways_2024,RHO GTPases Activate Formins,1/139,0.130251677909176,0.1864967206426839,7.567505720823799,15.424746385609486,SPDL1
Reactome_Pathways_2024,DNA Replication,1/143,0.1337499897609051,0.1893539180884723,7.3528539659006675,14.792346387731271,MCM10
Reactome_Pathways_2024,RHOA GTPase Cycle,1/149,0.1389724038190062,0.1945613653466087,7.052631578947368,13.91822665778434,DEPDC1B
Reactome_Pathways_2024,Signaling by Rho GTPases,2/672,0.1440795751192928,0.1953201850670282,3.2023217247097846,6.204144571668484,DEPDC1B;SPDL1
Reactome_Pathways_2024,CDC42 GTPase Cycle,1/155,0.1441648985018541,0.1953201850670282,6.775803144224197,13.123358631426164,DEPDC1B
Reactome_Pathways_2024,Metabolism of Steroids,1/155,0.1441648985018541,0.1953201850670282,6.775803144224197,13.123358631426164,OSBPL3
Reactome_Pathways_2024,Cell-Cell Communication,1/157,0.1458891093945096,0.1955534870607257,6.6882591093117405,12.874286612773822,CDH3
Reactome_Pathways_2024,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",2/688,0.1496270605878591,0.1984527329902131,3.125040492387431,5.93635611820885,DEPDC1B;SPDL1
Reactome_Pathways_2024,Protein Localization,1/164,0.1518978967110384,0.1993659894332379,6.398773006134969,12.058786655225672,OTC
Reactome_Pathways_2024,Fatty Acid Metabolism,1/176,0.1621053521282268,0.2095080229688894,5.9563909774436095,10.837705998274306,PON1
Reactome_Pathways_2024,Separation of Sister Chromatids,1/177,0.1629506845313584,0.2095080229688894,5.922248803827751,10.744781445251576,SPDL1
Reactome_Pathways_2024,RAC1 GTPase Cycle,1/184,0.1688453657431134,0.2148941018548716,5.693701466781708,10.127796623203372,DEPDC1B
Reactome_Pathways_2024,Metabolism of Vitamins and Cofactors,1/198,0.1805166287404085,0.2274509522129148,5.285332620892333,9.048132049958218,MTHFD2
Reactome_Pathways_2024,Mitotic Prometaphase,1/203,0.1846470750790034,0.2303517966332121,5.153204794163627,8.705355125083043,SPDL1
Reactome_Pathways_2024,Phospholipid Metabolism,1/211,0.1912146784670498,0.2362063675181203,4.954887218045113,8.197159840645964,DGAT2
Reactome_Pathways_2024,G Alpha (Q) Signalling Events,1/219,0.1977320051501138,0.2401957382413225,4.771125060357315,7.733243102972645,LPAR2
Reactome_Pathways_2024,Mitotic Anaphase,1/221,0.1993535238624252,0.2401957382413225,4.727272727272728,7.623557044051727,SPDL1
Reactome_Pathways_2024,Mitotic Metaphase and Anaphase,1/222,0.2001631152011021,0.2401957382413225,4.705644201000238,7.569605933177322,SPDL1
Reactome_Pathways_2024,Chromatin Modifying Enzymes,1/238,0.2130112833844098,0.250835716882576,4.384410393071286,6.780096694326777,JADE2
Reactome_Pathways_2024,Chromatin Organization,1/238,0.2130112833844098,0.250835716882576,4.384410393071286,6.780096694326777,JADE2
Reactome_Pathways_2024,Gene Expression (Transcription),3/1615,0.2159785386496041,0.2519749617578714,2.0108013428696543,3.081706350056969,DGAT2;RAD51;MED17
Reactome_Pathways_2024,"Platelet Activation, Signaling and Aggregation",1/262,0.2319165033542363,0.2680869671801263,3.9764065335753176,5.811032515977932,ITIH4
Reactome_Pathways_2024,RHO GTPase Effectors,1/291,0.2541848623234516,0.2911572059341356,3.573502722323049,4.89460335187553,SPDL1
Reactome_Pathways_2024,G Alpha (I) Signalling Events,1/316,0.2728881438519747,0.3097649200481874,3.2857142857142856,4.26713511950017,LPAR2
Reactome_Pathways_2024,Class A 1 (Rhodopsin-like Receptors),1/333,0.2853509186584741,0.3210197834907833,3.1147748890298037,3.906038480321878,LPAR2
Reactome_Pathways_2024,Metabolism of Amino Acids and Derivatives,1/358,0.3033104583628337,0.3382045818913013,2.8929677134011498,3.451305804082509,OTC
Reactome_Pathways_2024,M Phase,1/372,0.3131796504077144,0.3461459293980001,2.781813023123848,3.2296245270526462,SPDL1
Reactome_Pathways_2024,Generic Transcription Pathway,2/1230,0.3507825615071202,0.3843356760860621,1.6967064784654362,1.7774505855705034,RAD51;MED17
Reactome_Pathways_2024,RHO GTPase Cycle,1/450,0.3657789180798256,0.3973115834315348,2.2894150744344155,2.302524670500886,DEPDC1B
Reactome_Pathways_2024,GPCR Ligand Binding,1/467,0.3767234637954501,0.4057021917797154,2.203975604246668,2.151617691951573,LPAR2
Reactome_Pathways_2024,RNA Polymerase II Transcription,2/1360,0.3987166785600417,0.4257483177844513,1.5236458844706269,1.4009987795924188,RAD51;MED17
Reactome_Pathways_2024,GPCR Downstream Signalling,1/633,0.4745725774016064,0.5024886113664069,1.611259160559627,1.2009370581543952,LPAR2
Reactome_Pathways_2024,Signal Transduction,3/2613,0.4956224587865283,0.5204035817258548,1.1744421906693712,0.8243889071933242,DEPDC1B;LPAR2;SPDL1
Reactome_Pathways_2024,Signaling by GPCR,1/706,0.5128136527207573,0.5301487849976423,1.438969764837626,0.96100552471406,LPAR2
Reactome_Pathways_2024,Hemostasis,1/707,0.5133186648389869,0.5301487849976423,1.4368570150588935,0.9581802385425754,ITIH4
Reactome_Pathways_2024,Disease,2/2131,0.6445195106225545,0.6602394986865193,0.931631960753614,0.4092195107093841,RAD51;MED17
Reactome_Pathways_2024,Viral Infection Pathways,1/1029,0.6524785082700408,0.6630023551776222,0.9703051402826132,0.4142980534157746,MED17
Reactome_Pathways_2024,Infectious Disease,1/1311,0.7424667172633383,0.7484064510014451,0.750100441944556,0.2233628352328754,MED17
Reactome_Pathways_2024,Developmental Biology,1/1385,0.762121318216827,0.762121318216827,0.7071797992090052,0.1921050570466748,MED17
